date,open,high,low,close,pre_close,volume
2005-01-04,994.769,994.769,980.658,982.794,1000.0,741286894.0
2005-01-05,981.577,997.323,979.877,992.564,982.794,711910898.0
2005-01-06,993.331,993.788,980.33,983.174,992.564,628802905.0
2005-01-07,983.045,995.711,979.812,983.958,983.174,729869409.0
2005-01-10,983.76,993.959,979.789,993.879,983.958,579169799.0
2005-01-11,994.189,999.554,991.092,997.135,993.879,584907998.0
2005-01-12,996.651,996.976,989.257,996.748,997.135,501452509.0
2005-01-13,996.078,999.473,992.695,996.877,996.748,604406584.0
2005-01-14,996.617,1006.463,987.233,988.306,996.877,729784238.0
2005-01-17,979.111,981.525,965.078,967.452,988.306,728818876.0
2005-01-18,967.374,974.872,960.293,974.689,967.452,731184782.0
2005-01-19,974.333,974.333,965.258,967.21,974.689,633809119.0
2005-01-20,963.213,963.213,952.23,956.245,967.21,772710670.0
2005-01-21,954.462,984.274,943.439,982.604,956.245,1445005985.0
2005-01-24,1001.854,1001.854,986.239,998.133,982.604,1435946161.0
2005-01-25,995.637,997.951,985.237,997.775,998.133,986252911.0
2005-01-26,995.78,999.474,988.475,989.928,997.775,766329017.0
2005-01-27,987.342,987.702,973.771,974.631,989.928,694536497.0
2005-01-28,974.631,975.624,965.209,969.209,974.631,574880738.0
2005-01-31,965.785,965.785,953.142,954.879,969.209,678870643.0
2005-02-01,953.33,965.477,952.741,955.951,954.879,743306676.0
2005-02-02,956.701,1006.932,956.701,1006.913,955.951,1705733857.0
2005-02-03,1005.563,1014.187,992.155,993.215,1006.913,1697453933.0
2005-02-04,992.25,1021.025,989.939,1016.858,993.215,1573621461.0
2005-02-16,1023.324,1033.248,1018.487,1023.584,1016.858,1213129305.0
2005-02-17,1024.43,1024.43,1010.476,1020.606,1023.584,896829766.0
2005-02-18,1020.122,1021.199,1005.631,1006.055,1020.606,813993936.0
2005-02-21,1006.693,1025.656,1006.693,1025.633,1006.055,988609416.0
2005-02-22,1026.837,1048.678,1024.527,1046.744,1025.633,1793784231.0
2005-02-23,1046.812,1049.609,1036.625,1043.944,1046.744,1869692971.0
2005-02-24,1042.253,1045.958,1034.731,1045.46,1043.944,1468178853.0
2005-02-25,1046.274,1059.483,1045.982,1046.761,1045.46,1817000338.0
2005-02-28,1046.206,1048.278,1035.039,1039.989,1046.761,1297104604.0
